N5.HOG0000000,Ictalurus_punctatus---rna-XM_053685317.1
N5.HOG0028415,Scleropages_formosus---rna-XM_029246594.1
N5.HOG0028416,Prochilodus_magdalenae---PM_29055
N5.HOG0028417,Menidia_menidia---rna-MMEN_LOCUS17098
N5.HOG0028418,Synaphobranchus_kaupii---mrna.SKAU_T00351670
N5.HOG0028419,Cirrhinus_molitorella---evm.model.Chr20.947
N5.HOG0028420,Platichthys_flesus---rna-XM_062388329.1
N5.HOG0028421,Megalops_cyprinoides---rna-XM_036552146.1
N5.HOG0028422,Coregonus_sp_balchen---gene-CSTEINMANNI_LOCUS508922
N5.HOG0028423,Anabarilius_grahami---mrna.DPX16_4564
N5.HOG0028424,Scortum_barcoo---S.barcoo_19558
N5.HOG0028425,Cirrhinus_molitorella---evm.model.Chr25.778
N5.HOG0028426,Hemibagrus_guttatus---male_34814
N5.HOG0028427,Paramormyrops_kingsleyae---rna-XM_023826709.1
N5.HOG0028428,Scortum_barcoo---S.barcoo_20155
N5.HOG0028429,Takifugu_bimaculatus---evm.model.000003F_arrow_pilon.452
N5.HOG0028430,Caranx_melampygus---mRNA5827
N5.HOG0028431,Takifugu_bimaculatus---evm.model.000001F_arrow_pilon.209.1
N5.HOG0028432,Scleropages_formosus---rna-XM_029248228.1
N5.HOG0028433,Caranx_melampygus---mRNA12901
N5.HOG0028434,Argentina_silus---g14814.t1
N5.HOG0028435,Gymnothorax_javanicus---GJAV_T00101000
N5.HOG0028436,Cirrhinus_molitorella---evm.model.Chr15.656
N5.HOG0028437,Albula_glossodonta---mRNA701
N5.HOG0028438,Brienomyrus_brachyistius---rna-XM_048992097.1
N5.HOG0028439,Electrophorus_voltai---E.voltai_00751
N5.HOG0028440,Trichomycterus_rosablanca---rna-XM_063018832.1
N5.HOG0028441,Hemibagrus_guttatus---male_34809
N5.HOG0028442,Muraenolepis_orangiensis---S400001488-RA
N5.HOG0028443,Hemibagrus_guttatus---male_33489
N5.HOG0028444,Sinocyclocheilus_rhinocerous---rna-XM_016569517.1
N5.HOG0028445,Coryphaenoides_rupestris---CRUPGENE039646-RA
N5.HOG0028446,Caranx_melampygus---mRNA29595
N5.HOG0028447,Sinocyclocheilus_grahami---rna-XM_016267487.1
N5.HOG0028448,Hemibagrus_guttatus---male_25121
N5.HOG0028449,Dissostichus_mawsoni---DM00000966-RA
N5.HOG0028450,Sinocyclocheilus_anshuiensis---rna-XM_016499419.1
N5.HOG0028451,Albula_glossodonta---mRNA20274
N5.HOG0028452,Aldrovandia_affinis---mrna.AAFF_T00394260
N5.HOG0028453,Oryzias_melastigma---rna-XM_024271519.2
N5.HOG0028454,Datnioides_undecimradiatus---g4526.t1
N5.HOG0028455,Bagarius_yarrelli---mrna.Baya_14801
N5.HOG0028456,Dissostichus_mawsoni---DM00013331-RA
N5.HOG0028457,Tetraodon_nigroviridis---gene-GSTEN_00018587_G_001
N5.HOG0028458,Galaxias_olidus---g5121.t1
N5.HOG0028459,Cirrhinus_molitorella---evm.model.Chr19.834
N5.HOG0028460,Albula_goreensis---AGOR_T00104080
N5.HOG0028461,Hippocampus_comes---rna-XM_019872566.1
N5.HOG0028462,Silurus_asotus---mrna.C0J50_14784
N5.HOG0028463,Cirrhinus_molitorella---evm.model.Chr19.525
N5.HOG0028464,Channa_striata---evm.model.LG03.370
N5.HOG0028465,Dissostichus_mawsoni---DM00031514-RA
N5.HOG0028466,Megalops_cyprinoides---rna-XM_036534927.1
N5.HOG0028467,Sinocyclocheilus_rhinocerous---rna-XM_016552002.1
N5.HOG0028468,Danionella_translucida---DT15392-RA
N5.HOG0028469,Danionella_translucida---DT01393-RF
N5.HOG0028470,Hypomesus_transpacificus---rna-XM_047051868.1
N5.HOG0028471,Nothobranchius_furzeri---rna-XM_054746502.1
N5.HOG0028472,Menidia_menidia---rna-MMEN_LOCUS17165
N5.HOG0028473,Lucifuga_dentata---LDENT00156700_mrna
N5.HOG0028474,Electrophorus_voltai---E.voltai_20587
N5.HOG0028475,Esox_lucius---rna-XM_034288460.1
N5.HOG0028476,Synaphobranchus_kaupii---mrna.SKAU_T00229850
N5.HOG0028477,Zeus_faber---g2147.t2
N5.HOG0028478,Hypomesus_transpacificus---rna-XM_047030670.1
N5.HOG0028479,Caranx_melampygus---mRNA9718
N5.HOG0028480,Dissostichus_mawsoni---DM00016286-RA
N5.HOG0028481,Rhinichthys_klamathensis_goyatoka---rna-XM_056254297.1
N5.HOG0028482,Kryptolebias_marmoratus---rna-XM_025009461.2
N5.HOG0028483,Alosa_sapidissima---rna-XM_042080306.1
N5.HOG0028484,Albula_glossodonta---mRNA22196
N5.HOG0028485,Muraenolepis_orangiensis---S400020234-RA
N5.HOG0028486,Caranx_melampygus---mRNA8103
N5.HOG0028487,Carassius_gibelio---rna-XM_052547119.1
N5.HOG0028488,Centroberyx_gerrardi---g33578.t1
N5.HOG0028489,Megalops_cyprinoides---rna-XM_036551203.1
N5.HOG0028490,Phyllopteryx_taeniolatus---rna-XM_061770809.1
N5.HOG0028491,Galaxias_olidus---g19178.t1
N5.HOG0028492,Bagarius_yarrelli---mrna.Baya_12596
N5.HOG0028493,Kryptolebias_marmoratus---rna-XM_017427766.3
N5.HOG0028494,Scleropages_formosus---rna-XM_018750843.2
N5.HOG0028495,Takifugu_bimaculatus---evm.model.000060F_arrow_pilon.48.1
N5.HOG0028496,Collichthys_lucidus---mrna_D9C73_019824
N5.HOG0028497,Megalops_cyprinoides---rna-XM_036547297.1
N5.HOG0028498,Scleropages_formosus---rna-XM_029259235.1
N5.HOG0028499,Scortum_barcoo---S.barcoo_01693
N5.HOG0028500,Anabarilius_grahami---mrna.DPX16_22039
N5.HOG0028501,Caranx_melampygus---mRNA32709
N5.HOG0028502,Caranx_melampygus---mRNA4349
N5.HOG0028503,Albula_glossodonta---mRNA8242
N5.HOG0028504,Caranx_melampygus---mRNA20482
N5.HOG0028505,Dissostichus_mawsoni---DM00019882-RA
N5.HOG0028506,Danionella_translucida---DT06503-RB
N5.HOG0028507,Phyllopteryx_taeniolatus---rna-XM_061763705.1
N5.HOG0028508,Pogonophryne_albipinna---S600013514-RA
N5.HOG0028509,Poeciliopsis_prolifica---rna-XM_055027754.1
N5.HOG0028510,Salvelinus_fontinalis---rna-XM_055880821.1
N5.HOG0028511,Nematolebias_whitei---rna-XM_037677491.1
N5.HOG0028512,Neolamprologus_brichardi---rna-XM_006808702.2
N5.HOG0028513,Albula_glossodonta---mRNA13434
N5.HOG0028514,Cirrhinus_molitorella---evm.model.Chr15.594
N5.HOG0028515,Albula_glossodonta---mRNA2245
N5.HOG0028516,Nerophis_ophidion---rna-XM_061882803.1
N5.HOG0028517,Danionella_translucida---DT03990-RA
N5.HOG0028518,Takifugu_bimaculatus---evm.model.000009F_arrow_pilon.373
N5.HOG0028519,Albula_glossodonta---mRNA6115
N5.HOG0028520,Gymnothorax_javanicus---GJAV_T00026850
N5.HOG0028521,Engraulis_encrasicolus---rna-XM_063210300.1
N5.HOG0028522,Tetraodon_nigroviridis---gene-GSTEN_00014463_G_001
N5.HOG0028523,Synaphobranchus_kaupii---mrna.SKAU_T00285590
N5.HOG0028524,Mugil_cephalus---rna-XM_047592625.1
N5.HOG0028525,Misgurnus_anguillicaudatus---rna-XM_055200935.1
N5.HOG0028526,Paramormyrops_kingsleyae---rna-XM_023836647.1
N5.HOG0028527,Paramormyrops_kingsleyae---rna-XM_023826468.1
N5.HOG0028528,Scortum_barcoo---S.barcoo_12548
N5.HOG0028529,Albula_glossodonta---mRNA15957
N5.HOG0028530,Muraenolepis_orangiensis---S400010167-RA
N5.HOG0028531,Gymnothorax_javanicus---GJAV_T00262510
N5.HOG0028532,Prochilodus_magdalenae---PM_02979
N5.HOG0028533,Menidia_menidia---rna-MMEN_LOCUS14720
N5.HOG0028534,Aldrovandia_affinis---mrna.AAFF_T00278210
N5.HOG0028535,Menidia_menidia---rna-MMEN_LOCUS11136
N5.HOG0028536,Caranx_melampygus---mRNA9242
N5.HOG0028537,Channa_striata---evm.model.LG01.804
N5.HOG0028538,Pygocentrus_nattereri---rna-XM_017698229.2
N5.HOG0028539,Chaenocephalus_aceratus---CAt00003953.1
N5.HOG0028540,Electrophorus_voltai---E.voltai_04608
N5.HOG0028541,Fundulus_heteroclitus---rna-XM_021316290.2
N5.HOG0028542,Gadus_morhua---rna-XM_030374795.1
N5.HOG0028543,Engraulis_encrasicolus---rna-XM_063215781.1
N5.HOG0028544,Channa_striata---evm.model.LG05.511
N5.HOG0028545,Osmerus_eperlanus---rna-XM_062474669.1
N5.HOG0028546,Dissostichus_mawsoni---DM00013099-RA
N5.HOG0028547,Gymnothorax_javanicus---GJAV_T00262000
N5.HOG0028548,Electrophorus_voltai---E.voltai_07735
N5.HOG0028549,Electrophorus_voltai---E.voltai_11264
N5.HOG0028550,Dissostichus_eleginoides---DEt00023783.1
N5.HOG0028551,Albula_glossodonta---mRNA26802
N5.HOG0028552,Triplophysa_tibetana---mrna_E1301_Tti010353
N5.HOG0028553,Nerophis_ophidion---rna-XM_061905385.1
N5.HOG0028554,Megalops_cyprinoides---rna-XM_036552590.1
N5.HOG0028555,Sardina_pilchardus---rna-XM_062532469.1
N5.HOG0028556,Syngnathus_acus---rna-XM_037257593.1
N5.HOG0028557,Dissostichus_mawsoni---DM00013401-RA
N5.HOG0028558,Stegastes_partitus---rna-XM_008303387.1
N5.HOG0028559,Xiphias_gladius---rna-XM_040118563.1
N5.HOG0028560,Borostomias_antarcticus---g14880.t2
N5.HOG0028561,Periophthalmus_magnuspinnatus---rna-XM_033970634.2
N5.HOG0028562,Takifugu_flavidus---rna-XM_057014571.1
N5.HOG0028563,Menidia_menidia---rna-MMEN_LOCUS8849
N5.HOG0028564,Scleropages_formosus---rna-XM_018745273.2
N5.HOG0028565,Myripristis_murdjan---rna-XM_030058085.1
N5.HOG0028566,Takifugu_bimaculatus---evm.model.000161F_arrow_pilon.33
N5.HOG0028567,Prochilodus_magdalenae---PM_33769
N5.HOG0028568,Hemibagrus_guttatus---male_21443
N5.HOG0028569,Morone_saxatilis---rna-XM_035670052.1
N5.HOG0028570,Coregonus_clupeaformis---rna-XM_041863789.1
N5.HOG0028571,Danionella_translucida---DT11618-RB
N5.HOG0028572,Anoplopoma_fimbria---rna-XM_054606756.1
N5.HOG0028573,Takifugu_bimaculatus---evm.model.000040F_arrow_pilon.35
N5.HOG0028574,Menidia_menidia---rna-MMEN_LOCUS5956
N5.HOG0028575,Hemibagrus_guttatus---male_28877
N5.HOG0028576,Tetraodon_nigroviridis---gene-GSTEN_00028466_G_001
N5.HOG0028577,Champsocephalus_gunnari---g_24243.t1
N5.HOG0028578,Paralichthys_olivaceus---rna-XM_020107884.1
N5.HOG0028579,Myripristis_murdjan---rna-XM_030076475.1
N5.HOG0028580,Xiphias_gladius---rna-XM_040141432.1
N5.HOG0028581,Lampris_incognitus---rna-XM_056300385.1
N5.HOG0028582,Dissostichus_mawsoni---DM00029842-RA
N5.HOG0028583,Dissostichus_eleginoides---DEt00034643.1
N5.HOG0028584,Paramormyrops_kingsleyae---rna-XM_023794874.1
N5.HOG0028585,Datnioides_undecimradiatus---g33819.t1
N5.HOG0028586,Betta_splendens---rna-XM_029168961.3
N5.HOG0028587,Acanthochromis_polyacanthus---rna-XM_051952204.1
N5.HOG0028588,Danionella_translucida---DT22562-RC
N5.HOG0028589,Muraenolepis_orangiensis---S400012976-RA
N5.HOG0028590,Cirrhinus_molitorella---evm.model.Chr03.1160
N5.HOG0028591,Cirrhinus_molitorella---evm.model.Chr20.541
N5.HOG0028592,Scortum_barcoo---S.barcoo_19351
N5.HOG0028593,Thunnus_maccoyii---rna-XM_042418058.1
N5.HOG0028594,Pleuronectes_platessa---rna-XM_053415780.1
N5.HOG0028595,Triplophysa_tibetana---mrna_E1301_Tti005272
N5.HOG0028596,Electrophorus_voltai---E.voltai_08577
N5.HOG0028597,Silurus_meridionalis---rna-XM_046851143.1
N5.HOG0028598,Oncorhynchus_tshawytscha---rna-XM_042313585.1
N5.HOG0028599,Scleropages_formosus---rna-XM_018738205.2
N5.HOG0028600,Centroberyx_gerrardi---g37293.t1
N5.HOG0028601,Dissostichus_mawsoni---DM00029311-RA
N5.HOG0028602,Solea_solea---rna-XM_058623517.1
N5.HOG0028603,Caranx_melampygus---mRNA31058
N5.HOG0028604,Pleuronectes_platessa---rna-XM_053440819.1
N5.HOG0028605,Cirrhinus_molitorella---evm.model.Chr23.360
N5.HOG0028606,Albula_glossodonta---mRNA21548
N5.HOG0028607,Albula_glossodonta---mRNA20071
N5.HOG0028608,Dissostichus_mawsoni---DM00018447-RA
N5.HOG0028609,Bagarius_yarrelli---mrna.Baya_15773
N5.HOG0028610,Oryzias_javanicus---OJAV_T00114180
N5.HOG0028611,Albula_glossodonta---mRNA3716
N5.HOG0028612,Albula_glossodonta---mRNA13177
N5.HOG0028613,Syngnathoides_biaculeatus---rna-XM_061832056.1
N5.HOG0028614,Aldrovandia_affinis---mrna.AAFF_T00183900
N5.HOG0028615,Caranx_melampygus---mRNA25857
N5.HOG0028616,Anguilla_anguilla---rna-XM_035390428.1
N5.HOG0028617,Hemibagrus_wyckioides---rna-XM_058412671.1
N5.HOG0028618,Crenichthys_baileyi---CRENBAI_000688-T1_mrna
N5.HOG0028619,Oryzias_melastigma---rna-XM_036214594.1
N5.HOG0028620,Lucifuga_dentata---LDENT00254930_mrna
N5.HOG0028621,Takifugu_bimaculatus---evm.model.000042F_arrow_pilon.119
N5.HOG0028622,Caranx_melampygus---mRNA15328
N5.HOG0028623,Paramormyrops_kingsleyae---rna-XM_023792263.1
N5.HOG0028624,Danionella_translucida---DT11606-RA
N5.HOG0028625,Nibea_albiflora---Mianyu0021091
N5.HOG0028626,Caranx_melampygus---mRNA29888
N5.HOG0028627,Aldrovandia_affinis---mrna.AAFF_T00251920
N5.HOG0028628,Cirrhinus_molitorella---evm.model.Chr09.740
N5.HOG0028629,Syngnathoides_biaculeatus---rna-XM_061818566.1
N5.HOG0028630,Gadus_macrocephalus---rna-XM_060073793.1
N5.HOG0028631,Chaenocephalus_aceratus---CAt00017920.1
N5.HOG0028632,Prochilodus_magdalenae---PM_07544
N5.HOG0028633,Aldrovandia_affinis---mrna.AAFF_T00176180
N5.HOG0028634,Megalops_atlanticus---MATL_T00123340
N5.HOG0028635,Hemibagrus_guttatus---male_29827
N5.HOG0028636,Hemibagrus_guttatus---male_02646
N5.HOG0028637,Muraenolepis_orangiensis---S400016573-RA
N5.HOG0028638,Dallia_pectoralis---mrna.DPEC_T00328670
N5.HOG0028639,Synaphobranchus_kaupii---mrna.SKAU_T00281380
N5.HOG0028640,Scortum_barcoo---S.barcoo_22293
N5.HOG0028641,Synaphobranchus_kaupii---mrna.SKAU_T00412080
N5.HOG0028642,Engraulis_encrasicolus---rna-XM_063196314.1
N5.HOG0028643,Synaphobranchus_kaupii---mrna.SKAU_T00410100
N5.HOG0028644,Synaphobranchus_kaupii---mrna.SKAU_T00247830
N5.HOG0028645,Synaphobranchus_kaupii---mrna.SKAU_T00274450
N5.HOG0028646,Synaphobranchus_kaupii---mrna.SKAU_T00015560
N5.HOG0028647,Aldrovandia_affinis---mrna.AAFF_T00210200
N5.HOG0028648,Muraenolepis_orangiensis---S400015890-RA
N5.HOG0028649,Chaenocephalus_aceratus---CAt00007386.1
N5.HOG0028650,Gymnothorax_javanicus---GJAV_T00073310
N5.HOG0028651,Dissostichus_mawsoni---DM00011965-RA
N5.HOG0028652,Prochilodus_magdalenae---PM_03842
N5.HOG0028653,Scortum_barcoo---S.barcoo_13948
N5.HOG0028654,Brienomyrus_brachyistius---rna-XM_048991838.1
N5.HOG0028655,Dallia_pectoralis---mrna.DPEC_T00175650
N5.HOG0028656,Cirrhinus_molitorella---evm.model.Chr19.1028
N5.HOG0028657,Channa_striata---evm.model.LG03.992
N5.HOG0028658,Cirrhinus_molitorella---evm.model.Chr17.625
N5.HOG0028659,Triplophysa_rosa---rna-XM_057344315.1
N5.HOG0028660,Caranx_melampygus---mRNA14930
N5.HOG0028661,Scleropages_formosus---rna-XM_029258629.1
N5.HOG0028662,Anguilla_anguilla---rna-XM_035403698.1
N5.HOG0028663,Lates_japonicus---gene-AKAME5_001100800
N5.HOG0028664,Prochilodus_magdalenae---PM_26825
N5.HOG0028665,Gymnothorax_javanicus---GJAV_T00273320
N5.HOG0028666,Clarias_magur---DAT39_018317-RA_mrna
N5.HOG0028667,Gadus_morhua---rna-XM_030339279.1
N5.HOG0028668,Lates_japonicus---gene-AKAME5_000987100
N5.HOG0028669,Scortum_barcoo---S.barcoo_14387
N5.HOG0028670,Dissostichus_mawsoni---DM00032338-RA
N5.HOG0028671,Prochilodus_magdalenae---PM_11461
N5.HOG0028672,Channa_striata---evm.model.LG17.164
N5.HOG0028673,Dallia_pectoralis---mrna.DPEC_T00173330
N5.HOG0028674,Channa_striata---evm.model.LG02.1034
N5.HOG0028675,Albula_glossodonta---mRNA11455
N5.HOG0028676,Caranx_melampygus---mRNA25187
N5.HOG0028677,Muraenolepis_orangiensis---S400027064-RA
N5.HOG0028678,Prochilodus_magdalenae---PM_22279
N5.HOG0028679,Scortum_barcoo---S.barcoo_22329
N5.HOG0028680,Aldrovandia_affinis---mrna.AAFF_T00079610
N5.HOG0028681,Caranx_melampygus---mRNA19130
N5.HOG0028682,Channa_striata---evm.model.LG14.677
N5.HOG0028683,Paramormyrops_kingsleyae---rna-XM_023826453.1
N5.HOG0028684,Crenichthys_baileyi---CRENBAI_019997-T1_mrna
N5.HOG0028685,Caranx_melampygus---mRNA26473
N5.HOG0028686,Caranx_melampygus---mRNA28619
N5.HOG0028687,Channa_striata---evm.model.LG12.250
N5.HOG0028688,Dallia_pectoralis---mrna.DPEC_T00008490
N5.HOG0028689,Alosa_sapidissima---rna-XM_042084799.1
N5.HOG0028690,Cyprinus_carpio---rna-XM_042720349.1
N5.HOG0028691,Silurus_asotus---mrna.C0J50_24159
N5.HOG0028692,Hippocampus_comes---rna-XM_019889753.1
N5.HOG0028693,Periophthalmus_magnuspinnatus---rna-XM_055223544.1
N5.HOG0028694,Prochilodus_magdalenae---PM_20226
N5.HOG0028695,Sardina_pilchardus---rna-XM_062554873.1
N5.HOG0028696,Conger_conger---rna-XM_061262530.1
N5.HOG0028697,Xyrichtys_novacula---gene-XNOV1_A013529
N5.HOG0028698,Electrophorus_voltai---E.voltai_04986
N5.HOG0028699,Lates_japonicus---gene-AKAME5_000378800
N5.HOG0028700,Sphaeramia_orbicularis---rna-XM_030129713.1
N5.HOG0028701,Poecilia_latipinna---rna-XM_015047727.1
N5.HOG0028702,Crenichthys_baileyi---CRENBAI_000752-T1_mrna
N5.HOG0028703,Scomber_japonicus---rna-XM_053339788.1
N5.HOG0028704,Monopterus_albus---rna-XM_020600993.1
N5.HOG0028705,Engraulis_encrasicolus---rna-XM_063210560.1
N5.HOG0028706,Paramormyrops_kingsleyae---rna-XM_023806651.1
N5.HOG0028707,Gymnothorax_javanicus---GJAV_T00050380
N5.HOG0028708,Sardina_pilchardus---rna-XM_062553491.1
N5.HOG0028709,Dallia_pectoralis---mrna.DPEC_T00117550
N5.HOG0028710,Dissostichus_mawsoni---DM00012277-RA
N5.HOG0028711,Solea_solea---rna-XM_058617572.1
N5.HOG0028712,Oreochromis_aureus---rna-XM_031757463.2
N5.HOG0028713,Scortum_barcoo---S.barcoo_11202
N5.HOG0028714,Albula_glossodonta---mRNA27707
N5.HOG0028715,Caranx_melampygus---mRNA29012
N5.HOG0028716,Bagarius_yarrelli---mrna.Baya_15247
N5.HOG0028717,Prochilodus_magdalenae---PM_30889
N5.HOG0028718,Anguilla_anguilla---rna-XM_035411851.1
N5.HOG0028719,Aldrovandia_affinis---mrna.AAFF_T00132760
N5.HOG0028720,Scortum_barcoo---S.barcoo_17657
N5.HOG0028721,Engraulis_encrasicolus---rna-XM_063213608.1
N5.HOG0028722,Coregonus_suidteri---mrna.J4Q44_T00243560
N5.HOG0028723,Scleropages_formosus---rna-XM_029245969.1
N5.HOG0028724,Engraulis_encrasicolus---rna-XM_063199569.1
N5.HOG0028725,Gadus_macrocephalus---rna-XM_060065936.1
N5.HOG0028726,Myripristis_murdjan---rna-XM_030071613.1
N5.HOG0028727,Esox_lucius---rna-XM_029113574.2
N5.HOG0028728,Scortum_barcoo---S.barcoo_13633
N5.HOG0028729,Sphaeramia_orbicularis---rna-XM_030157727.1
N5.HOG0028730,Melanotaenia_boesemani---rna-XM_041988605.1
N5.HOG0028731,Siniperca_chuatsi---rna-XM_044207121.1
N5.HOG0028732,Anarrhichthys_ocellatus---rna-XM_031868606.1
N5.HOG0028733,Takifugu_bimaculatus---evm.model.000233F_arrow_pilon.14
N5.HOG0028734,Syngnathoides_biaculeatus---rna-XM_061819054.1
N5.HOG0028735,Electrophorus_voltai---E.voltai_05196
N5.HOG0028736,Anguilla_anguilla---rna-XM_035390874.1
N5.HOG0028737,Bagarius_yarrelli---mrna.Baya_12489
N5.HOG0028738,Channa_striata---evm.model.LG15.819
N5.HOG0028739,Coregonus_suidteri---mrna.J4Q44_T00366580
N5.HOG0028740,Alosa_sapidissima---rna-XM_042067336.1
N5.HOG0028741,Anguilla_anguilla---rna-XM_035412773.1
N5.HOG0028742,Scleropages_formosus---rna-XM_018753928.2
N5.HOG0028743,Argentina_silus---g19873.t1
N5.HOG0028744,Pogonophryne_albipinna---S600025676-RA
N5.HOG0028745,Rhinichthys_klamathensis_goyatoka---rna-XM_056239501.1
N5.HOG0028746,Albula_glossodonta---mRNA7620
N5.HOG0028747,Centroberyx_gerrardi---g35300.t1
N5.HOG0028748,Scortum_barcoo---S.barcoo_03204
N5.HOG0028749,Albula_glossodonta---mRNA22278
N5.HOG0028750,Oryzias_javanicus---OJAV_T00111780
N5.HOG0028751,Paramormyrops_kingsleyae---rna-XM_023802534.1
N5.HOG0028752,Albula_glossodonta---mRNA12558
N5.HOG0028753,Betta_splendens---rna-XM_029130006.3
N5.HOG0028754,Pangasianodon_gigas---PGIGA_T00145380
N5.HOG0028755,Gasterosteus_aculeatus_aculeatus---rna-XM_040196478.1
N5.HOG0028756,Muraenolepis_orangiensis---S400019570-RA
N5.HOG0028757,Prochilodus_magdalenae---PM_04423
N5.HOG0028758,Engraulis_encrasicolus---rna-XM_063195833.1
N5.HOG0028759,Synaphobranchus_kaupii---mrna.SKAU_T00380520
N5.HOG0028760,Hemibagrus_guttatus---male_25771
N5.HOG0028761,Channa_striata---evm.model.LG12.293
N5.HOG0028762,Albula_goreensis---AGOR_T00176760
N5.HOG0028763,Caranx_melampygus---mRNA31703
N5.HOG0028764,Anabarilius_grahami---mrna.DPX16_15452
N5.HOG0028765,Channa_striata---evm.model.LG19.818
N5.HOG0028766,Crenichthys_baileyi---CRENBAI_016755-T1_mrna
N5.HOG0028767,Brienomyrus_brachyistius---rna-XM_048991192.1
N5.HOG0028768,Paramormyrops_kingsleyae---rna-XM_023816964.1
N5.HOG0028769,Albula_glossodonta---mRNA25938
N5.HOG0028770,Channa_striata---evm.model.LG03.789
N5.HOG0028771,Silurus_asotus---mrna.C0J50_16007
N5.HOG0028772,Sardina_pilchardus---rna-XM_062538114.1
N5.HOG0028773,Megalops_cyprinoides---rna-XM_036539817.1
N5.HOG0028774,Caranx_melampygus---mRNA4924
N5.HOG0028775,Bagarius_yarrelli---mrna.Baya_12810
N5.HOG0028776,Engraulis_encrasicolus---rna-XM_063202240.1
N5.HOG0028777,Oreochromis_aureus---rna-XM_039622163.1
N5.HOG0028778,Scleropages_formosus---rna-XM_029253850.1
N5.HOG0028779,Brienomyrus_brachyistius---rna-XM_048987258.1
N5.HOG0028780,Salmo_salar---rna-XM_045714501.1
N5.HOG0028781,Electrona_antarctica---g166.t1
N5.HOG0028782,Gadus_macrocephalus---rna-XM_060056523.1
N5.HOG0028783,Conger_conger---rna-XM_061248792.1
N5.HOG0028784,Caranx_melampygus---mRNA11357
N5.HOG0028785,Scortum_barcoo---S.barcoo_06392
N5.HOG0028786,Prochilodus_magdalenae---PM_03340
N5.HOG0028787,Thunnus_maccoyii---rna-XM_042400140.1
N5.HOG0028788,Maylandia_zebra---rna-XM_024799170.1
N5.HOG0028789,Pelmatolapia_mariae---rna-XM_063483134.1
N5.HOG0028790,Rhinichthys_klamathensis_goyatoka---rna-XM_056258804.1
N5.HOG0028791,Hemibagrus_guttatus---male_27319
N5.HOG0028792,Anabarilius_grahami---mrna.DPX16_3551
N5.HOG0028793,Aldrovandia_affinis---mrna.AAFF_T00237420
N5.HOG0028794,Crenichthys_baileyi---CRENBAI_008861-T1_mrna
N5.HOG0028795,Electrophorus_voltai---E.voltai_03111
N5.HOG0028796,Pleuronectes_platessa---rna-XM_053410675.1
N5.HOG0028797,Channa_striata---evm.model.LG11.934
N5.HOG0028798,Synaphobranchus_kaupii---mrna.SKAU_T00008060
N5.HOG0028799,Solea_solea---rna-XM_058630594.1
N5.HOG0028800,Albula_glossodonta---mRNA17918
N5.HOG0028801,Electrophorus_voltai---E.voltai_09780
N5.HOG0028802,Cirrhinus_molitorella---evm.model.Chr03.1375
N5.HOG0028803,Caranx_melampygus---mRNA25714
N5.HOG0028804,Scortum_barcoo---S.barcoo_23376
N5.HOG0028805,Oncorhynchus_tshawytscha---rna-XM_042302820.1
N5.HOG0028806,Nibea_albiflora---Mianyu0018475
N5.HOG0028807,Lates_japonicus---gene-AKAME5_001603100
N5.HOG0028808,Coryphaenoides_rupestris---CRUPGENE001075-RA
N5.HOG0028809,Anabarilius_grahami---mrna.DPX16_16398
N5.HOG0028810,Brienomyrus_brachyistius---rna-XM_049026419.1
N5.HOG0028811,Alosa_sapidissima---rna-XM_042086527.1
N5.HOG0028812,Hemibagrus_guttatus---male_13975
N5.HOG0028813,Caranx_melampygus---mRNA28562
N5.HOG0028814,Gymnothorax_javanicus---GJAV_T00020870
N5.HOG0028815,Triplophysa_rosa---rna-XM_057339993.1
N5.HOG0028816,Caranx_melampygus---mRNA12801
N5.HOG0028817,Scortum_barcoo---S.barcoo_24613
N5.HOG0028818,Hemibagrus_guttatus---male_32544
N5.HOG0028819,Caranx_melampygus---mRNA26427
N5.HOG0028820,Muraenolepis_orangiensis---S400016870-RA
N5.HOG0028821,Caranx_melampygus---mRNA31757
N5.HOG0028822,Channa_striata---evm.model.LG13.904
N5.HOG0028823,Scleropages_formosus---rna-XM_018761703.1
N5.HOG0028824,Zeus_faber---g1745.t1
N5.HOG0028825,Scortum_barcoo---S.barcoo_02490
N5.HOG0028826,Caranx_melampygus---mRNA29135
N5.HOG0028827,Albula_glossodonta---mRNA3244
N5.HOG0028828,Collichthys_lucidus---mrna_D9C73_016098
N5.HOG0028829,Centroberyx_gerrardi---g4515.t2
N5.HOG0028830,Dissostichus_mawsoni---DM00000688-RA
N5.HOG0028831,Prochilodus_magdalenae---PM_06860
N5.HOG0028832,Brienomyrus_brachyistius---rna-XM_048992223.1
N5.HOG0028833,Cirrhinus_molitorella---evm.model.Chr14.418
N5.HOG0028834,Dallia_pectoralis---mrna.DPEC_T00311070
N5.HOG0028835,Dissostichus_mawsoni---DM00031035-RA
N5.HOG0028836,Gymnothorax_javanicus---GJAV_T00184900
N5.HOG0028837,Aldrovandia_affinis---mrna.AAFF_T00121130
N5.HOG0028838,Channa_striata---evm.model.LG11.476
N5.HOG0028839,Anguilla_anguilla---rna-XM_035432338.1
N5.HOG0028840,Acanthopagrus_latus---rna-XM_037085717.1
N5.HOG0028841,Mugil_cephalus---rna-XM_047585784.1
N5.HOG0028842,Hyperoplus_immaculatus---g5336.t1
N5.HOG0028843,Oncorhynchus_mykiss---rna-XM_036960208.1
N5.HOG0028844,Hemibagrus_guttatus---male_05971
