Gene stable ID	Gene name	Transcript stable ID	RefSeq mRNA predicted ID	Protein stable ID
ENSDARG00000105301	sox8a	ENSDART00000169936	XM_017358422	ENSDARP00000139345
ENSDARG00000105018	lrrc20	ENSDART00000164392	XM_005172996	ENSDARP00000136255
ENSDARG00000100797		ENSDART00000170729	XM_005170240	ENSDARP00000136720
ENSDARG00000087822	AGAP3	ENSDART00000128690	XM_009297586	ENSDARP00000106871
ENSDARG00000087822	AGAP3	ENSDART00000128690	XM_017353885	ENSDARP00000106871
ENSDARG00000087822	AGAP3	ENSDART00000128690	XM_009297585	ENSDARP00000106871
ENSDARG00000086314	ACKR2	ENSDART00000125967	XM_005163663	ENSDARP00000108059
ENSDARG00000043799	KLHL29	ENSDART00000038730	XM_009292783	ENSDARP00000030003
ENSDARG00000109717	SLC35E2B	ENSDART00000180675	XM_021478520	ENSDARP00000146307
ENSDARG00000111856		ENSDART00000189145	XM_009296460	ENSDARP00000150167
ENSDARG00000101906	zgc:113442	ENSDART00000167390	XM_009302084	ENSDARP00000132703
ENSDARG00000102911	iffo2b	ENSDART00000161605	XM_021479908	ENSDARP00000133160
ENSDARG00000102911	iffo2b	ENSDART00000161605	XM_021479910	ENSDARP00000133160
ENSDARG00000102911	iffo2b	ENSDART00000161605	XM_021479909	ENSDARP00000133160
ENSDARG00000102911	iffo2b	ENSDART00000161605	XM_009306298	ENSDARP00000133160
ENSDARG00000092488	khnyn	ENSDART00000143762	XM_003198854	ENSDARP00000122973
ENSDARG00000092488	khnyn	ENSDART00000143762	XM_005166301	ENSDARP00000122973
ENSDARG00000107296	INSYN2A	ENSDART00000178008	XM_002664032	ENSDARP00000144350
ENSDARG00000042010	pklr	ENSDART00000075275	XM_021466597	ENSDARP00000069759
ENSDARG00000103777	znf1001	ENSDART00000162970	XM_021471725	ENSDARP00000140763
ENSDARG00000103125	tsc2	ENSDART00000158948	XM_021475603	ENSDARP00000131915
ENSDARG00000103125	tsc2	ENSDART00000158948	XM_021475593	ENSDARP00000131915
ENSDARG00000089361	tfpil	ENSDART00000126937	XM_003199274	ENSDARP00000110352
ENSDARG00000018192	ubr5	ENSDART00000035761	XM_021466631	ENSDARP00000033510
ENSDARG00000018192	ubr5	ENSDART00000035761	XM_021466630	ENSDARP00000033510
ENSDARG00000018192	ubr5	ENSDART00000035761	XM_021466627	ENSDARP00000033510
ENSDARG00000018192	ubr5	ENSDART00000035761	XM_021466628	ENSDARP00000033510
ENSDARG00000018192	ubr5	ENSDART00000035761	XM_021466629	ENSDARP00000033510
ENSDARG00000018192	ubr5	ENSDART00000035761	XM_021466626	ENSDARP00000033510
ENSDARG00000018192	ubr5	ENSDART00000035761	XM_005158440	ENSDARP00000033510
ENSDARG00000018192	ubr5	ENSDART00000035761	XM_005158437	ENSDARP00000033510
ENSDARG00000114306	slc47a2.2	ENSDART00000159741	XM_683484	ENSDARP00000139722
ENSDARG00000087131	ifnlr1	ENSDART00000131051	XM_021466592	ENSDARP00000108103
ENSDARG00000001937		ENSDART00000019804	XM_002665255	ENSDARP00000018250
ENSDARG00000070858	si:busm1-105l16.2	ENSDART00000178072	XM_021481071	ENSDARP00000143470
ENSDARG00000070858	si:busm1-105l16.2	ENSDART00000178072	XM_005170975	ENSDARP00000143470
ENSDARG00000077316	MB21D2	ENSDART00000113494	XM_679576	ENSDARP00000101638
ENSDARG00000079681		ENSDART00000108871	XM_021479317	ENSDARP00000100922
ENSDARG00000058736	gabra6b	ENSDART00000124708	XM_002667357	ENSDARP00000109146
ENSDARG00000052351	si:dkey-156n14.3	ENSDART00000151240	XM_021477089	ENSDARP00000126156
ENSDARG00000073847	rbm15	ENSDART00000111617	XM_021478443	ENSDARP00000100758
ENSDARG00000098856		ENSDART00000180811	XM_021480192	ENSDARP00000145486
ENSDARG00000103462	dvl3b	ENSDART00000158246	XM_001920207	ENSDARP00000141947
ENSDARG00000090675	APBA3	ENSDART00000112590	XM_003199417	ENSDARP00000099375
ENSDARG00000005679	trip10a	ENSDART00000124215	XM_017354074	ENSDARP00000105597
ENSDARG00000005679	trip10a	ENSDART00000124215	XM_017354077	ENSDARP00000105597
ENSDARG00000098414	ninl	ENSDART00000162026	XM_021480600	ENSDARP00000141752
ENSDARG00000098414	ninl	ENSDART00000162026	XM_021480599	ENSDARP00000141752
ENSDARG00000098414	ninl	ENSDART00000162026	XM_021480602	ENSDARP00000141752
ENSDARG00000098414	ninl	ENSDART00000162026	XM_021480603	ENSDARP00000141752
ENSDARG00000098414	ninl	ENSDART00000162026	XM_021480601	ENSDARP00000141752
ENSDARG00000036245		ENSDART00000192353	XM_002665520	ENSDARP00000152720
ENSDARG00000090976	nabp2	ENSDART00000130886	XM_005172805	ENSDARP00000105492
ENSDARG00000090976	nabp2	ENSDART00000130886	XM_009305771	ENSDARP00000105492
ENSDARG00000090976	nabp2	ENSDART00000130886	XM_005172804	ENSDARP00000105492
ENSDARG00000102828	mfsd11	ENSDART00000167512	XM_005168486	ENSDARP00000141421
ENSDARG00000090524	f2rl2	ENSDART00000123144	XM_005165249	ENSDARP00000108581
ENSDARG00000015502		ENSDART00000170892	XM_021470558	ENSDARP00000130824
ENSDARG00000077909	rce1a	ENSDART00000109171	XM_001919194	ENSDARP00000098829
ENSDARG00000103156	gpc6a	ENSDART00000126093	XM_021475731	ENSDARP00000107768
ENSDARG00000090501		ENSDART00000126888	XM_017354553	ENSDARP00000107000
ENSDARG00000090501		ENSDART00000126888	XM_021471817	ENSDARP00000107000
ENSDARG00000108939	pde9ab	ENSDART00000178749	XM_695355	ENSDARP00000144224
ENSDARG00000108939	pde9ab	ENSDART00000178749	XM_021476651	ENSDARP00000144224
ENSDARG00000108939	pde9ab	ENSDART00000178749	XM_021476650	ENSDARP00000144224
ENSDARG00000111583		ENSDART00000185184	XM_021472151	ENSDARP00000156607
ENSDARG00000039667	mrpl38	ENSDART00000057983	XM_005169488	ENSDARP00000057982
ENSDARG00000102478	ADAMTS7	ENSDART00000162653	XM_021478001	ENSDARP00000134271
ENSDARG00000088689	si:ch211-201o1.1	ENSDART00000152090	XM_003200109	ENSDARP00000126550
ENSDARG00000088689	si:ch211-201o1.1	ENSDART00000152090	XM_017351438	ENSDARP00000126550
ENSDARG00000101289	slc29a1a	ENSDART00000183453	XM_009307586	ENSDARP00000152157
ENSDARG00000109287	HMBOX1	ENSDART00000191671	XM_009301469	ENSDARP00000154081
ENSDARG00000109287	HMBOX1	ENSDART00000191671	XM_009301470	ENSDARP00000154081
ENSDARG00000109287	HMBOX1	ENSDART00000191671	XM_005173819	ENSDARP00000154081
ENSDARG00000054835	ugt5f1	ENSDART00000129065	XM_017351894	ENSDARP00000111605
ENSDARG00000102491	gpr142	ENSDART00000165720	XM_001340648	ENSDARP00000138671
ENSDARG00000100939		ENSDART00000172222	XM_021470051	ENSDARP00000131788
ENSDARG00000098944	nme9	ENSDART00000163684	XM_021478590	ENSDARP00000130661
ENSDARG00000098944	nme9	ENSDART00000163684	XM_021478589	ENSDARP00000130661
ENSDARG00000098944	nme9	ENSDART00000163684	XM_021478587	ENSDARP00000130661
ENSDARG00000098944	nme9	ENSDART00000163684	XM_021478588	ENSDARP00000130661
ENSDARG00000106248	LRFN2	ENSDART00000178483	XM_001338239	ENSDARP00000143402
ENSDARG00000101104		ENSDART00000171343	XM_005165679	ENSDARP00000141462
ENSDARG00000029063	clpxa	ENSDART00000157870	XM_021477471	ENSDARP00000132450
ENSDARG00000075054	rasgrf2a	ENSDART00000081794	XM_009305082	ENSDARP00000076233
ENSDARG00000075054	rasgrf2a	ENSDART00000081794	XM_009305083	ENSDARP00000076233
ENSDARG00000104869		ENSDART00000171317	XM_021481297	ENSDARP00000130015
ENSDARG00000102610	R3HDM2	ENSDART00000166373	XM_021477336	ENSDARP00000137124
ENSDARG00000074401	gnpat	ENSDART00000113132	XM_002665648	ENSDARP00000103920
ENSDARG00000103763	L3HYPDH	ENSDART00000172158	XM_021477047	ENSDARP00000138509
ENSDARG00000057886		ENSDART00000080637	XM_021480938	ENSDARP00000075083
ENSDARG00000100781		ENSDART00000172078	XM_021476979	ENSDARP00000141077
ENSDARG00000055245		ENSDART00000125685	XM_017355313	ENSDARP00000106600
ENSDARG00000109502	PHF21B	ENSDART00000188725	XM_021475310	ENSDARP00000150912
ENSDARG00000114019	mul3	ENSDART00000190568	XM_005171125	ENSDARP00000146630
ENSDARG00000114019	mul3	ENSDART00000190568	XM_005171126	ENSDARP00000146630
ENSDARG00000114019	mul3	ENSDART00000190568	XM_005171127	ENSDARP00000146630
ENSDARG00000114019	mul3	ENSDART00000190568	XM_017351300	ENSDARP00000146630
ENSDARG00000009624		ENSDART00000066290	XM_009306756	ENSDARP00000066289
ENSDARG00000073753	tacc1	ENSDART00000091156	XM_021479323	ENSDARP00000085589
ENSDARG00000073753	tacc1	ENSDART00000091156	XM_021479322	ENSDARP00000085589
ENSDARG00000073753	tacc1	ENSDART00000091156	XM_688981	ENSDARP00000085589
ENSDARG00000011020	hnrnpa1a	ENSDART00000018131	XM_021479562	ENSDARP00000024594
ENSDARG00000011020	hnrnpa1a	ENSDART00000018131	XM_021479560	ENSDARP00000024594
ENSDARG00000011020	hnrnpa1a	ENSDART00000018131	XM_021479561	ENSDARP00000024594
ENSDARG00000011020	hnrnpa1a	ENSDART00000018131	XM_021479559	ENSDARP00000024594
ENSDARG00000053929	opn4b	ENSDART00000076051	XM_009306568	ENSDARP00000070530
ENSDARG00000077792	cdc42ep1b	ENSDART00000150922	XM_001346134	ENSDARP00000125802
ENSDARG00000100986		ENSDART00000166311	XM_002662570	ENSDARP00000137009
ENSDARG00000100986		ENSDART00000166311	XM_009302773	ENSDARP00000137009
ENSDARG00000105034	zdhhc18b	ENSDART00000161965	XM_009294125	ENSDARP00000136991
ENSDARG00000105034	zdhhc18b	ENSDART00000161965	XM_021467998	ENSDARP00000136991
ENSDARG00000092634	ifi44a4	ENSDART00000140512	XM_017354451	ENSDARP00000126872
ENSDARG00000078258	ggt5b	ENSDART00000114210	XM_002667837	ENSDARP00000100117
ENSDARG00000098398		ENSDART00000167947	XM_009305032	ENSDARP00000139702
ENSDARG00000098398		ENSDART00000167947	XM_001920524	ENSDARP00000139702
ENSDARG00000098398		ENSDART00000167947	XM_009305033	ENSDARP00000139702
ENSDARG00000076724	pi4kaa	ENSDART00000113162	XM_005172596	ENSDARP00000100989
ENSDARG00000076724	pi4kaa	ENSDART00000113162	XM_009305081	ENSDARP00000100989
ENSDARG00000034080	plcd1b	ENSDART00000046098	XM_005163356	ENSDARP00000046097
ENSDARG00000113519		ENSDART00000184361	XM_021475741	ENSDARP00000153436
ENSDARG00000113519		ENSDART00000184361	XM_021475743	ENSDARP00000153436
ENSDARG00000008560	brap	ENSDART00000109148	XM_021479154	ENSDARP00000103873
ENSDARG00000005846	SP5	ENSDART00000185105	XM_005172090	ENSDARP00000153701
ENSDARG00000099506	RAC1	ENSDART00000171836	XM_021470998	ENSDARP00000132219
ENSDARG00000070709	wu:fi42e03	ENSDART00000103388	XM_003199495	ENSDARP00000094165
ENSDARG00000053963	npm2b	ENSDART00000076084	XM_021479177	ENSDARP00000070563
ENSDARG00000099786	actn4	ENSDART00000172154	XM_021481339	ENSDARP00000132801
ENSDARG00000099786	actn4	ENSDART00000172154	XM_021481336	ENSDARP00000132801
ENSDARG00000099786	actn4	ENSDART00000172154	XM_021481337	ENSDARP00000132801
ENSDARG00000114574		ENSDART00000191521	XM_021480870	ENSDARP00000145432
ENSDARG00000114574		ENSDART00000191521	XM_021480869	ENSDARP00000145432
ENSDARG00000099786	actn4	ENSDART00000187688	XM_021481334	ENSDARP00000150996
ENSDARG00000099786	actn4	ENSDART00000187688	XM_021481335	ENSDARP00000150996
ENSDARG00000099786	actn4	ENSDART00000187688	XM_021481338	ENSDARP00000150996
ENSDARG00000104669	slc35c1	ENSDART00000161914	XM_005169053	ENSDARP00000138906
ENSDARG00000074665	cdk14	ENSDART00000100602	XM_021466740	ENSDARP00000091375
ENSDARG00000074665	cdk14	ENSDART00000100602	XM_021466741	ENSDARP00000091375
ENSDARG00000103868	E2F1	ENSDART00000169726	XM_005174533	ENSDARP00000137549
ENSDARG00000041086		ENSDART00000017763	XM_021478065	ENSDARP00000011367
ENSDARG00000041086		ENSDART00000017763	XM_021478067	ENSDARP00000011367
ENSDARG00000089428	rab12	ENSDART00000127124	XM_021480399	ENSDARP00000110018
ENSDARG00000041864	capn3a	ENSDART00000172488	XM_017351627	ENSDARP00000141755
ENSDARG00000041864	capn3a	ENSDART00000172488	XM_017351626	ENSDARP00000141755
ENSDARG00000041864	capn3a	ENSDART00000172488	XM_021467151	ENSDARP00000141755
ENSDARG00000041864	capn3a	ENSDART00000172488	XM_017351625	ENSDARP00000141755
ENSDARG00000041864	capn3a	ENSDART00000172488	XM_021467150	ENSDARP00000141755
ENSDARG00000079608	sgpp2	ENSDART00000114801	XM_002664704	ENSDARP00000101819
ENSDARG00000068493		ENSDART00000161218	XM_017351113	ENSDARP00000139371
ENSDARG00000104834	ano7	ENSDART00000171942	XM_009291433	ENSDARP00000141100
ENSDARG00000045465	lancl2	ENSDART00000100417	XM_021470181	ENSDARP00000091190
ENSDARG00000087950		ENSDART00000125211	XM_005157821	ENSDARP00000111339
ENSDARG00000087950		ENSDART00000125211	XM_005157823	ENSDARP00000111339
ENSDARG00000087950		ENSDART00000125211	XM_002664736	ENSDARP00000111339
ENSDARG00000087950		ENSDART00000125211	XM_017351291	ENSDARP00000111339
ENSDARG00000087950		ENSDART00000125211	XM_021466511	ENSDARP00000111339
ENSDARG00000114409		ENSDART00000184058	XM_005161654	ENSDARP00000156703
ENSDARG00000101172	tmem200ca	ENSDART00000171523	XM_001342709	ENSDARP00000130863
ENSDARG00000115732		ENSDART00000142352	XM_021469543	ENSDARP00000120860
ENSDARG00000103134	C23H1orf52	ENSDART00000158712	XM_021469765	ENSDARP00000137913
ENSDARG00000102891	ppp1r26	ENSDART00000163869	XM_005169355	ENSDARP00000138849
ENSDARG00000059503	acsf3	ENSDART00000082780	XM_021477983	ENSDARP00000077215
ENSDARG00000104864		ENSDART00000166339	XM_021467247	ENSDARP00000138187
ENSDARG00000024030	angptl2a	ENSDART00000067599	XM_005168602	ENSDARP00000067598
ENSDARG00000099329	macroh2a1	ENSDART00000162548	XM_021468903	ENSDARP00000135218
ENSDARG00000104347	rtn4b	ENSDART00000163902	XM_009307014	ENSDARP00000131948
ENSDARG00000104347	rtn4b	ENSDART00000163902	XM_017358799	ENSDARP00000131948
ENSDARG00000014975		ENSDART00000189762	XM_021466918	ENSDARP00000150732
ENSDARG00000014975		ENSDART00000189762	XM_009292314	ENSDARP00000150732
ENSDARG00000014975		ENSDART00000059126	XM_021466917	ENSDARP00000059125
ENSDARG00000116510		ENSDART00000183932	XM_021475426	ENSDARP00000148840
ENSDARG00000116510		ENSDART00000183932	XM_021475425	ENSDARP00000148840
ENSDARG00000102100	mrc1a	ENSDART00000167076	XM_002662968	ENSDARP00000137226
ENSDARG00000089354	tspan4a	ENSDART00000174126	XM_009293904	ENSDARP00000143203
ENSDARG00000089354	tspan4a	ENSDART00000174126	XM_009293902	ENSDARP00000143203
ENSDARG00000089354	tspan4a	ENSDART00000174126	XM_009293901	ENSDARP00000143203
ENSDARG00000089354	tspan4a	ENSDART00000174126	XM_021467630	ENSDARP00000143203
ENSDARG00000089354	tspan4a	ENSDART00000174126	XM_009293903	ENSDARP00000143203
ENSDARG00000099008	EGFLAM	ENSDART00000160362	XM_009301189	ENSDARP00000132488
ENSDARG00000099008	EGFLAM	ENSDART00000160362	XM_009301190	ENSDARP00000132488
ENSDARG00000088817	wdr59	ENSDART00000177784	XM_009293383	ENSDARP00000144192
ENSDARG00000078829	ccdc149a	ENSDART00000112841	XM_021477472	ENSDARP00000098966
ENSDARG00000078829	ccdc149a	ENSDART00000112841	XM_017356847	ENSDARP00000098966
ENSDARG00000098751	LZTS3	ENSDART00000168121	XM_009301133	ENSDARP00000140057
ENSDARG00000098751	LZTS3	ENSDART00000168121	XM_009301132	ENSDARP00000140057
ENSDARG00000098751	LZTS3	ENSDART00000168121	XM_005171718	ENSDARP00000140057
ENSDARG00000088817	wdr59	ENSDART00000122009	XM_009293384	ENSDARP00000106181
ENSDARG00000076371	shroom2b	ENSDART00000182954	XM_021479922	ENSDARP00000157593
ENSDARG00000076371	shroom2b	ENSDART00000111271	XM_005172940	ENSDARP00000102421
ENSDARG00000076371	shroom2b	ENSDART00000111271	XM_017358378	ENSDARP00000102421
ENSDARG00000076371	shroom2b	ENSDART00000111271	XM_679378	ENSDARP00000102421
ENSDARG00000078349		ENSDART00000076759	XM_021469467	ENSDARP00000071229
ENSDARG00000109310	im:7150988	ENSDART00000171601	XM_002667777	ENSDARP00000139543
ENSDARG00000038300	rnf34a	ENSDART00000167612	XM_005172464	ENSDARP00000130148
ENSDARG00000077775	baalca	ENSDART00000111383	XM_021466742	ENSDARP00000102149
ENSDARG00000089563		ENSDART00000193236	XM_003200104	ENSDARP00000149321
ENSDARG00000099252	ipcef1	ENSDART00000171898	XM_021468524	ENSDARP00000133499
ENSDARG00000006544	c1qtnf6b	ENSDART00000008398	XM_694361	ENSDARP00000013553
ENSDARG00000027564	pak6a	ENSDART00000103775	XM_003200290	ENSDARP00000094551
ENSDARG00000099851	GPR180	ENSDART00000163575	XM_002662569	ENSDARP00000132468
ENSDARG00000099851	GPR180	ENSDART00000163575	XM_021477338	ENSDARP00000132468
ENSDARG00000106560	MCMDC2	ENSDART00000178085	XM_021470098	ENSDARP00000146592
ENSDARG00000106560	MCMDC2	ENSDART00000178085	XM_021470097	ENSDARP00000146592
ENSDARG00000042159	RFESD	ENSDART00000061792	XM_009304074	ENSDARP00000061791
ENSDARG00000042159	RFESD	ENSDART00000061792	XM_683247	ENSDARP00000061791
ENSDARG00000104798		ENSDART00000165455	XM_005160954	ENSDARP00000135324
ENSDARG00000098537		ENSDART00000168993	XM_021476666	ENSDARP00000136480
ENSDARG00000098537		ENSDART00000168993	XM_002666586	ENSDARP00000136480
ENSDARG00000098537		ENSDART00000168993	XM_021476665	ENSDARP00000136480
ENSDARG00000100227	SLC7A1	ENSDART00000161613	XM_017359226	ENSDARP00000135330
ENSDARG00000100227	SLC7A1	ENSDART00000161613	XM_021481372	ENSDARP00000135330
ENSDARG00000117130	arl10	ENSDART00000183924	XM_684052	ENSDARP00000150260
ENSDARG00000113654		ENSDART00000192608	XM_001921557	ENSDARP00000145281
ENSDARG00000043417	eipr1	ENSDART00000189066	XM_017351629	ENSDARP00000154183
ENSDARG00000043417	eipr1	ENSDART00000189066	XM_021467152	ENSDARP00000154183
ENSDARG00000114697		ENSDART00000182260	XM_021478799	ENSDARP00000145526
ENSDARG00000043417	eipr1	ENSDART00000063738	XM_017351628	ENSDARP00000063737
ENSDARG00000100161		ENSDART00000159802	XM_021472188	ENSDARP00000131129
ENSDARG00000089805	pcdh18a	ENSDART00000127838	XM_005159845	ENSDARP00000108171
ENSDARG00000089805	pcdh18a	ENSDART00000127838	XM_005159846	ENSDARP00000108171
ENSDARG00000089805	pcdh18a	ENSDART00000193663	XM_005159847	ENSDARP00000148237
ENSDARG00000074221	ABCA7	ENSDART00000113281	XM_009305796	ENSDARP00000103740
ENSDARG00000074221	ABCA7	ENSDART00000113281	XM_001920827	ENSDARP00000103740
ENSDARG00000079012	cbfa2t3	ENSDART00000021009	XM_021477978	ENSDARP00000009143
ENSDARG00000079012	cbfa2t3	ENSDART00000021009	XM_021477981	ENSDARP00000009143
ENSDARG00000079012	cbfa2t3	ENSDART00000021009	XM_021477980	ENSDARP00000009143
ENSDARG00000074017	usp31	ENSDART00000181003	XM_005164228	ENSDARP00000156523
ENSDARG00000079012	cbfa2t3	ENSDART00000188631	XM_021477982	ENSDARP00000151083
ENSDARG00000079012	cbfa2t3	ENSDART00000188631	XM_021477979	ENSDARP00000151083
ENSDARG00000074017	usp31	ENSDART00000193586	XM_005164229	ENSDARP00000146973
ENSDARG00000105141		ENSDART00000170968	XM_021467898	ENSDARP00000133511
ENSDARG00000105141		ENSDART00000170968	XM_009298756	ENSDARP00000133511
ENSDARG00000105141		ENSDART00000170968	XM_021467882	ENSDARP00000133511
ENSDARG00000105141		ENSDART00000170968	XM_009298757	ENSDARP00000133511
ENSDARG00000059287	mak	ENSDART00000082362	XM_005162564	ENSDARP00000076797
ENSDARG00000059287	mak	ENSDART00000082362	XM_021470113	ENSDARP00000076797
ENSDARG00000059287	mak	ENSDART00000082362	XM_009297289	ENSDARP00000076797
ENSDARG00000086107	MTERF1	ENSDART00000127985	XM_003200502	ENSDARP00000112440
ENSDARG00000078011	nav1a	ENSDART00000115403	XM_009296635	ENSDARP00000098796
ENSDARG00000078011	nav1a	ENSDART00000115403	XM_017353691	ENSDARP00000098796
ENSDARG00000067672	card9	ENSDART00000097471	XM_009301786	ENSDARP00000088242
ENSDARG00000067672	card9	ENSDART00000097471	XM_009301790	ENSDARP00000088242
ENSDARG00000067672	card9	ENSDART00000097471	XM_009301787	ENSDARP00000088242
ENSDARG00000067672	card9	ENSDART00000097471	XM_009301788	ENSDARP00000088242
ENSDARG00000067672	card9	ENSDART00000097471	XM_005165527	ENSDARP00000088242
ENSDARG00000067672	card9	ENSDART00000097471	XM_009301789	ENSDARP00000088242
ENSDARG00000038226		ENSDART00000055743	XM_021480193	ENSDARP00000055742
ENSDARG00000059287	mak	ENSDART00000177400	XM_005162563	ENSDARP00000143675
ENSDARG00000059287	mak	ENSDART00000177400	XM_009297291	ENSDARP00000143675
ENSDARG00000078011	nav1a	ENSDART00000183147	XM_003201170	ENSDARP00000154030
ENSDARG00000105295		ENSDART00000158488	XM_017357126	ENSDARP00000137842
ENSDARG00000105295		ENSDART00000158488	XM_021475876	ENSDARP00000137842
ENSDARG00000110328		ENSDART00000190912	XM_021472342	ENSDARP00000149736
ENSDARG00000110328		ENSDART00000190912	XM_021472337	ENSDARP00000149736
ENSDARG00000110328		ENSDART00000190912	XM_021472350	ENSDARP00000149736
ENSDARG00000078058	dip2a	ENSDART00000115030	XM_009304402	ENSDARP00000101175
ENSDARG00000078058	dip2a	ENSDART00000115030	XM_017357734	ENSDARP00000101175
ENSDARG00000078058	dip2a	ENSDART00000115030	XM_009304401	ENSDARP00000101175
ENSDARG00000078058	dip2a	ENSDART00000115030	XM_021478809	ENSDARP00000101175
ENSDARG00000078058	dip2a	ENSDART00000115030	XM_009304400	ENSDARP00000101175
ENSDARG00000098867	PRDM15	ENSDART00000163360	XM_009305497	ENSDARP00000138203
ENSDARG00000112898	st3gal2	ENSDART00000186455	XM_009293548	ENSDARP00000157046
ENSDARG00000112898	st3gal2	ENSDART00000186455	XM_009293550	ENSDARP00000157046
ENSDARG00000022970	tm9sf1	ENSDART00000033621	XM_021470138	ENSDARP00000037712
ENSDARG00000087867	SLC2A13	ENSDART00000122593	XM_005173456	ENSDARP00000106764
ENSDARG00000104937	PTPRD	ENSDART00000162072	XM_017354405	ENSDARP00000130629
ENSDARG00000104937	PTPRD	ENSDART00000193746	XM_021470804	ENSDARP00000147120
ENSDARG00000104937	PTPRD	ENSDART00000193746	XM_017354389	ENSDARP00000147120
ENSDARG00000104937	PTPRD	ENSDART00000193746	XM_009298310	ENSDARP00000147120
ENSDARG00000104937	PTPRD	ENSDART00000193746	XM_017354390	ENSDARP00000147120
ENSDARG00000104937	PTPRD	ENSDART00000193746	XM_009298313	ENSDARP00000147120
ENSDARG00000104937	PTPRD	ENSDART00000193746	XM_009298314	ENSDARP00000147120
ENSDARG00000104937	PTPRD	ENSDART00000193746	XM_017354397	ENSDARP00000147120
ENSDARG00000104937	PTPRD	ENSDART00000193746	XM_009298312	ENSDARP00000147120
ENSDARG00000104937	PTPRD	ENSDART00000193746	XM_009298311	ENSDARP00000147120
ENSDARG00000104937	PTPRD	ENSDART00000193746	XM_017354395	ENSDARP00000147120
ENSDARG00000104937	PTPRD	ENSDART00000193746	XM_017354398	ENSDARP00000147120
ENSDARG00000104937	PTPRD	ENSDART00000193746	XM_017354401	ENSDARP00000147120
ENSDARG00000103139		ENSDART00000164061	XM_003200921	ENSDARP00000132221
ENSDARG00000089663	lsm3	ENSDART00000128247	XM_003201131	ENSDARP00000104495
ENSDARG00000067927	EVA1A	ENSDART00000097888	XM_021468705	ENSDARP00000088660
ENSDARG00000104937	PTPRD	ENSDART00000182980	XM_005172403	ENSDARP00000146490
ENSDARG00000114105	zgc:174355	ENSDART00000180765	XM_021479761	ENSDARP00000145687
ENSDARG00000104937	PTPRD	ENSDART00000184604	XM_017354396	ENSDARP00000150215
ENSDARG00000104937	PTPRD	ENSDART00000184604	XM_017354392	ENSDARP00000150215
ENSDARG00000104937	PTPRD	ENSDART00000184604	XM_017354406	ENSDARP00000150215
ENSDARG00000104937	PTPRD	ENSDART00000184604	XM_017354391	ENSDARP00000150215
ENSDARG00000076416		ENSDART00000108943	XM_017356636	ENSDARP00000100323
ENSDARG00000076416		ENSDART00000108943	XM_017356634	ENSDARP00000100323
ENSDARG00000076416		ENSDART00000108943	XM_017356633	ENSDARP00000100323
ENSDARG00000076416		ENSDART00000108943	XM_017356632	ENSDARP00000100323
ENSDARG00000076416		ENSDART00000108943	XM_021477154	ENSDARP00000100323
ENSDARG00000076416		ENSDART00000108943	XM_017356638	ENSDARP00000100323
ENSDARG00000076416		ENSDART00000108943	XM_017356637	ENSDARP00000100323
ENSDARG00000076416		ENSDART00000108943	XM_021477152	ENSDARP00000100323
ENSDARG00000076416		ENSDART00000108943	XM_017356639	ENSDARP00000100323
ENSDARG00000088100	KCNIP4	ENSDART00000185827	XM_021478058	ENSDARP00000148729
ENSDARG00000088100	KCNIP4	ENSDART00000185827	XM_021478057	ENSDARP00000148729
ENSDARG00000088100	KCNIP4	ENSDART00000185827	XM_017357141	ENSDARP00000148729
ENSDARG00000090548		ENSDART00000127398	XM_002666608	ENSDARP00000111158
ENSDARG00000104937	PTPRD	ENSDART00000182151	XM_017354400	ENSDARP00000156645
ENSDARG00000104937	PTPRD	ENSDART00000182151	XM_009298317	ENSDARP00000156645
ENSDARG00000104937	PTPRD	ENSDART00000182151	XM_017354394	ENSDARP00000156645
ENSDARG00000104937	PTPRD	ENSDART00000182151	XM_017354393	ENSDARP00000156645
ENSDARG00000104937	PTPRD	ENSDART00000182151	XM_017354403	ENSDARP00000156645
ENSDARG00000104937	PTPRD	ENSDART00000182151	XM_009298316	ENSDARP00000156645
ENSDARG00000104937	PTPRD	ENSDART00000182151	XM_017354404	ENSDARP00000156645
ENSDARG00000104937	PTPRD	ENSDART00000182151	XM_017354399	ENSDARP00000156645
ENSDARG00000104937	PTPRD	ENSDART00000182151	XM_009298315	ENSDARP00000156645
ENSDARG00000022689	itgb1b.2	ENSDART00000037808	XM_021479546	ENSDARP00000036611
ENSDARG00000104791	ofcc1	ENSDART00000160432	XM_021470272	ENSDARP00000139945
ENSDARG00000037012	slc3a2b	ENSDART00000053797	XM_005161337	ENSDARP00000053796
ENSDARG00000104937	PTPRD	ENSDART00000187727	XM_017354408	ENSDARP00000145563
ENSDARG00000104937	PTPRD	ENSDART00000187727	XM_017354409	ENSDARP00000145563
ENSDARG00000104937	PTPRD	ENSDART00000187727	XM_017354402	ENSDARP00000145563
ENSDARG00000103492	si:ch73-111k22.3	ENSDART00000159322	XM_001342700	ENSDARP00000135737
ENSDARG00000100674	UBE2O	ENSDART00000160883	XM_009292173	ENSDARP00000131827
ENSDARG00000076358	zmp:0000001161	ENSDART00000082044	XM_005161648	ENSDARP00000076481
ENSDARG00000059854		ENSDART00000083670	XM_005166157	ENSDARP00000078105
ENSDARG00000091187		ENSDART00000129439	XM_003200891	ENSDARP00000107825
